Rep Step Lambda Alpha F1 F2 D1_2 Ln_Like Est_Ln_P(D)
r4 1400 1.00 0.021 0.172 0.171 0.067 -16038 0
r4 1500 1.00 0.033 0.182 0.169 0.069 -16046 0
r4 1600 1.00 0.032 0.190 0.204 0.067 -15998 0
r4 1700 1.00 0.034 0.202 0.158 0.065 -16021 0
r4 1800 1.00 0.040 0.167 0.230 0.064 -16011 0
r4 1900 1.00 0.023 0.180 0.177 0.068 -16000 0
r4 2000 1.00 0.022 0.207 0.191 0.063 -15994 0
r4 2100 1.00 0.030 0.213 0.180 0.066 -15994 0
r4 2200 1.00 0.025 0.177 0.173 0.063 -16027 0
r4 2300 1.00 0.022 0.170 0.179 0.066 -16012 0
r4 2400 1.00 0.016 0.202 0.205 0.064 -16039 0
r4 2500 1.00 0.019 0.183 0.227 0.065 -15977 0
r4 2600 1.00 0.029 0.155 0.187 0.065 -16040 0
r4 2700 1.00 0.025 0.162 0.235 0.069 -16015 0
r4 2800 1.00 0.038 0.191 0.174 0.065 -16064 0
r4 2900 1.00 0.022 0.185 0.141 0.061 -16034 0
r4 3000 1.00 0.034 0.177 0.207 0.066 -16012 0
r5 100 1.00 0.564 0.272 0.041 0.069 - -
r5 200 1.00 0.028 0.177 0.187 0.063 - -
r5 300 1.00 0.016 0.188 0.197 0.064 - -
r5 400 1.00 0.029 0.163 0.218 0.063 - -
r5 500 1.00 0.039 0.199 0.175 0.064 - -
r5 600 1.00 0.033 0.171 0.192 0.066 - -
r5 700 1.00 0.044 0.169 0.175 0.063 - -
r5 800 1.00 0.031 0.196 0.202 0.064 - -
r5 900 1.00 0.026 0.160 0.192 0.064 - -
r5 1000 1.00 0.037 0.205 0.198 0.069 - -
r5 1100 1.00 0.030 0.207 0.188 0.071 -16000 0
r5 1200 1.00 0.019 0.180 0.225 0.068 -16006 0
r5 1300 1.00 0.032 0.191 0.208 0.065 -16008 0
r5 1400 1.00 0.028 0.194 0.196 0.067 -15978 0
r5 1500 1.00 0.020 0.186 0.189 0.064 -15975 0
r5 1600 1.00 0.029 0.185 0.212 0.068 -16013 0
r5 1700 1.00 0.029 0.162 0.177 0.065 -16040 0
r5 1800 1.00 0.055 0.188 0.172 0.069 -16002 0
r5 1900 1.00 0.033 0.168 0.218 0.066 -16013 0
r5 2000 1.00 0.033 0.165 0.192 0.066 -15996 0
r5 2100 1.00 0.033 0.177 0.174 0.068 -15975 0
r5 2200 1.00 0.036 0.192 0.178 0.064 -16019 0
r5 2300 1.00 0.019 0.187 0.183 0.067 -15982 0
r5 2400 1.00 0.026 0.190 0.188 0.065 -15997 0
r5 2500 1.00 0.022 0.173 0.194 0.064 -16009 0
r5 2600 1.00 0.028 0.190 0.184 0.067 -15976 0
r5 2700 1.00 0.030 0.168 0.195 0.068 -15953 0
r5 2800 1.00 0.033 0.166 0.188 0.065 -15990 0
r5 2900 1.00 0.032 0.190 0.197 0.065 -15998 0
r5 3000 1.00 0.048 0.190 0.213 0.065 -16025 0
